wallMs,obsHostFrame,obsHostTimeMs,guestFrame,filteredOffsetMs,expectedHostFrame,driftMs
1775744174504,1721760,1775744173385,1702852,-804.398,1736860.9,-368.519
1775744174621,1721760,1775744173385,1707745,-804.458,1742474.0,-383.521
1775744174704,1721760,1775744173385,1712545,-804.458,1746458.0,-366.521
1775744174804,1745904,1775744173884,1717347,-804.458,1751450.0,-370.479
1775744174904,1745904,1775744173884,1722242,-804.458,1756250.0,-368.500
1775744175004,1745904,1775744173884,1727045,-804.458,1761050.0,-368.438
1775744175104,1745904,1775744173884,1731938,-804.458,1765850.0,-366.500
1775744175204,1745904,1775744173884,1736832,-804.458,1770650.0,-364.542
1775744175303,1770240,1775744174386,1741728,-804.458,1775642.0,-366.542
1775744175404,1770240,1775744174386,1746533,-804.458,1780490.0,-367.438
1775744175504,1770240,1775744174386,1751429,-804.458,1785290.0,-365.438
1775744175603,1770240,1775744174386,1756323,-804.212,1790053.8,-362.725
1775744175704,1794480,1775744174883,1761217,-804.212,1795285.8,-369.767
1775744175804,1794480,1775744174883,1766020,-804.212,1800085.8,-369.705
1775744175904,1794480,1775744174883,1770913,-804.212,1804885.8,-367.767
1775744176003,1794480,1775744174883,1775808,-804.212,1809637.8,-364.788
1775744176103,1794480,1775744174883,1780609,-804.212,1814437.8,-364.767
1775744176204,1794480,1775744174883,1785504,-804.212,1819285.8,-363.788
1775744176304,1816320,1775744175385,1790306,-804.212,1821829.8,-316.746
1775744176403,1816320,1775744175385,1795109,-804.212,1826581.8,-315.684
1775744176504,1816320,1775744175385,1800005,-804.212,1831429.8,-314.684
1775744176612,1816320,1775744175385,1804896,-803.991,1836624.4,-321.009
1775744176704,1816320,1775744175385,1809605,-803.991,1841040.4,-314.905
1775744176804,1840512,1775744175883,1814500,-803.991,1846128.4,-318.926
1775744176904,1840512,1775744175883,1819397,-803.991,1850928.4,-316.905
1775744177003,1840512,1775744175883,1824288,-803.991,1855680.4,-314.009
