wall_ms,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
1777347565327,192.168.35.90:57842,0.34,-44.60,1777347563252,-1830.5,5512032,5521501,0,drift
1777347565829,192.168.35.90:57842,2.05,-40.85,1777347563757,-1830.5,5534112,5543517,0,drift
1777347566426,192.168.35.90:57842,-0.29,-29.92,1777347564261,-1830.5,5556096,5570141,0,drift
1777347566928,192.168.35.90:57842,-0.87,-29.96,1777347564766,-1830.4,5578176,5592157,0,drift
1777347567429,192.168.35.90:57842,0.87,-28.04,1777347565271,-1830.4,5600160,5613917,0,drift
1777347568026,192.168.35.90:57842,-1.71,-17.21,1777347565777,-1830.4,5622144,5640541,0,drift
1777347568527,192.168.35.90:57842,-1.42,-9.30,1777347566282,-1830.4,5644224,5662813,0,drift
1777347569028,192.168.35.90:57842,1.19,-7.54,1777347566786,-1830.3,5666400,5684829,0,drift
1777347569626,192.168.35.90:57842,-2.26,-0.72,1777347567291,-1830.3,5688288,5711197,0,drift
1777347570127,192.168.35.90:57842,-0.84,-1.57,1777347567795,-1830.3,5710464,5733213,0,drift
1777347570725,192.168.35.90:57842,0.83,-39.66,1777347568755,-1830.3,5754624,5759581,0,drift
1777347571226,192.168.35.90:57842,-2.29,-33.33,1777347569259,-1830.3,5776608,5781853,0,drift
1777347571728,192.168.35.90:57842,-2.01,-34.46,1777347569761,-1830.2,5798688,5803869,0,drift
1777347572228,192.168.35.90:57842,-1.00,-28.53,1777347570266,-1830.2,5820672,5825885,0,drift
1777347572826,192.168.35.90:57842,-1.46,-23.34,1777347570772,-1830.2,5842752,5852253,0,drift
1777347573328,192.168.35.90:57842,-2.69,-16.81,1777347571277,-1830.2,5864832,5874525,0,drift
1777347573925,192.168.35.90:57842,0.79,-13.02,1777347571783,-1830.2,5886912,5900637,0,drift
1777347574426,192.168.35.90:57842,-0.70,-4.56,1777347572288,-1830.2,5908896,5922909,0,drift
1777347574927,192.168.35.90:57842,-1.99,-0.78,1777347572793,-1830.3,5930880,5944925,0,drift
1777347575428,192.168.35.90:57842,1.86,-42.87,1777347573250,-1830.3,5952960,5966941,0,drift
1777347576026,192.168.35.90:57842,-0.35,-39.31,1777347573754,-1830.2,5974944,5993309,0,drift
1777347576528,192.168.35.90:57842,-2.89,-34.36,1777347574259,-1830.2,5997024,6015581,0,drift
1777347577029,192.168.35.90:57842,1.37,-32.26,1777347574765,-1830.2,6019104,6037341,0,drift
1777347577626,192.168.35.90:57842,-0.37,-35.25,1777347575269,-1830.2,6041664,6063965,0,drift
1777347578127,192.168.35.90:57842,-2.94,-25.24,1777347575773,-1830.2,6063264,6085981,0,drift
1777347578628,192.168.35.90:57842,-3.93,-17.26,1777347576279,-1830.2,6085344,6108253,0,drift
1777347579226,192.168.35.90:57842,-1.75,-7.84,1777347576784,-1830.2,6107328,6134621,0,drift
1777347579727,192.168.35.90:57842,-0.94,-2.61,1777347577793,-1830.2,6151488,6156637,0,drift
1777347580229,192.168.35.90:57842,2.15,-1.34,1777347578298,-1830.2,6173472,6178397,0,drift
1777347580826,192.168.35.90:57842,-0.23,3.88,1777347578801,-1830.1,6195648,6205021,0,drift
1777347581327,192.168.35.90:57842,0.47,-36.15,1777347579256,-1830.1,6217632,6227293,0,drift
1777347581924,192.168.35.90:57842,0.53,-29.85,1777347579761,-1830.1,6239712,6253661,0,drift
1777347582426,192.168.35.90:57842,0.46,-26.14,1777347580267,-1830.1,6261696,6275677,0,drift
